ID	genus	infragenericEpithet	specificEpithet	infraspecificEpithet	authorship	remarks
Lecane-abanica	Lecane		abanica		Segers 1994	Hydrobiologia, 287: p.244, fig.1; holotype: SNMNH, no cat. nr. indicated [valid as Lecane abanica; name declinable]
Lepadella-abbei	Lepadella		abbei		Wulfert 1956	Archiv für Hydrobiologie, 51: p.473, fig.21; no deposited types known [valid as Lepadella abbei; name indeclinable]
Mikrocodides-abbreviatus	Mikrocodides		abbreviatus		Stenroos 1898	Acta Societatis pro Fauna et Flora Fennica, 17: p.113, pl.1, fig.20; no deposited types known [junior subjective synonym of Pleurotrocha robusta (Glascott, 1893); name declinable]
Trichocerca-abilioi	Trichocerca		abilioi		Segers & Sarma 1993	Revue d'Hydrobiologie Tropicale, 26: p.180, fig.4; holotype: INPA Rot-047 [valid as Trichocerca abilioi; name indeclinable]
Cephalodella-ablusa	Cephalodella		ablusa		Myers 1934	American Museum Novitates, 699: p.8, fig.8; syntype: AMNH 696 [valid as Cephalodella ablusa; name declinable]
Lecane-abnobensis	Lecane		abnobensis		Hauer 1929	Zoologischer Anzeiger, 83: p.150, fig.6 a,b; syntype: SMF GPRot2759 [junior subjective synonym of Lecane ligona (Dunlop, 1901); name declinable]
Cephalodella-abstrusa	Cephalodella		abstrusa		Myers 1934	American Museum Novitates, 699: p.13, fig.14; syntypes: AMNH 699 (deteriorated) [valid as Cephalodella abstrusa; name declinable]
Monostyla-acanthinula	Monostyla		acanthinula		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.535, fig.60; no deposited types known [valid as Lecane acanthinula; name declinable]
Mytilina-acanthophora	Mytilina		acanthophora		Hauer 1938	Archiv für Hydrobiologie, Supplement, 15: p.550, fig.73; syntype: SMF GPRot2437 [valid as Mytilina acanthophora; name declinable]
Albertia-aciliata	Albertia		aciliata		Radkewitsch 1870	Trudy Obshchestva ispytatelej prirody pri Imperatorskom Khar’kovskom Universitjete, 1 (for 1869): p.4, pl.7; no deposited types known [valid as Balatro aciliatus; name declinable]
